tanggal,suhu_rata,kelembapan,curah_hujan,lama_penyinaran,angin,stasiun
04-11-2010,26.5,83.0,1.0,2.3,3.0,96737
05-11-2010,27.8,76.0,2.0,2.2,2.0,96737
06-11-2010,27.2,81.0,0.0,8.0,2.0,96737
07-11-2010,26.6,80.0,0.0,1.5,3.0,96737
11-11-2010,27.6,82.0,0.0,2.5,2.0,96737
13-11-2010,25.7,90.0,29.0,2.0,2.0,96737
14-11-2010,27.8,78.0,2.0,2.7,0.0,96737
17-11-2010,26.5,85.0,3.0,5.1,0.0,96737
18-11-2010,26.9,85.0,0.0,7.0,1.0,96737
19-11-2010,27.3,78.0,1.0,4.0,1.0,96737
20-11-2010,27.6,84.0,4.0,2.6,0.0,96737
22-11-2010,26.1,78.0,0.0,4.7,0.0,96737
23-11-2010,26.9,88.0,0.0,0.5,0.0,96737
25-11-2010,27.0,83.0,20.0,3.0,1.0,96737
26-11-2010,26.4,85.0,1.0,1.0,1.0,96737
27-11-2010,25.0,94.0,37.0,5.0,0.0,96737
28-11-2010,25.8,88.0,44.0,5.5,0.0,96737
29-11-2010,27.0,83.0,4.0,7.5,0.0,96737
30-11-2010,26.5,84.0,0.0,6.6,2.0,96737
01-12-2010,25.2,92.0,1.0,0.0,1.0,96737
02-12-2010,27.2,82.0,9.0,4.0,1.0,96737
03-12-2010,26.2,88.0,6.0,3.0,1.0,96737
04-12-2010,27.1,82.0,2.0,3.5,2.0,96737
06-12-2010,26.6,86.0,1.0,2.0,3.0,96737
07-12-2010,26.3,82.0,4.0,1.0,3.0,96737
09-12-2010,27.2,78.0,1.0,0.5,2.0,96737
11-12-2010,25.4,88.0,1.0,0.0,2.0,96737
12-12-2010,26.6,83.0,33.0,5.6,3.0,96737
13-12-2010,28.4,73.0,0.0,2.5,1.0,96737
14-12-2010,27.4,85.0,0.0,1.2,1.0,96737
15-12-2010,26.9,81.0,4.0,7.4,3.0,96737
16-12-2010,27.1,80.0,1.0,5.0,4.0,96737
18-12-2010,27.8,74.0,0.0,8.0,2.0,96737
19-12-2010,26.3,88.0,0.0,4.2,3.0,96737
20-12-2010,26.6,82.0,8.0,0.8,0.0,96737
21-12-2010,26.3,84.0,2.0,6.0,3.0,96737
22-12-2010,25.9,85.0,4.0,1.4,2.0,96737
23-12-2010,26.3,84.0,14.0,2.0,1.0,96737
24-12-2010,28.1,69.0,0.0,8.0,2.0,96737
25-12-2010,27.7,74.0,0.0,8.0,2.0,96737
26-12-2010,26.0,86.0,0.0,3.0,3.0,96737
27-12-2010,27.6,74.0,1.0,2.5,2.0,96737
28-12-2010,25.8,84.0,4.0,5.0,0.0,96737
29-12-2010,26.4,83.0,9.0,0.2,3.0,96737
30-12-2010,28.1,70.0,4.0,2.0,3.0,96737
31-12-2010,28.8,70.0,0.0,0.0,3.0,96737
01-01-2011,28.4,70.0,0.0,7.0,2.0,96737
02-01-2011,26.3,83.0,0.0,0.0,2.0,96737
05-01-2011,26.4,89.0,1.0,3.0,2.0,96737
06-01-2011,26.8,83.0,49.0,7.5,1.0,96737
07-01-2011,25.8,88.0,3.0,0.0,0.0,96737
08-01-2011,26.0,82.0,1.0,0.0,1.0,96737
09-01-2011,26.5,87.0,5.0,2.4,2.0,96737
10-01-2011,26.6,80.0,68.0,1.0,2.0,96737
11-01-2011,27.6,77.0,2.0,1.6,2.0,96737
12-01-2011,26.7,83.0,3.0,1.5,1.0,96737
13-01-2011,27.2,81.0,1.0,3.5,2.0,96737
14-01-2011,27.4,77.0,0.0,2.1,2.0,96737
15-01-2011,25.3,88.0,3.0,0.4,3.0,96737
16-01-2011,25.0,89.0,4.0,0.2,2.0,96737
17-01-2011,27.0,82.0,5.0,5.0,2.0,96737
18-01-2011,26.6,81.0,1.0,0.3,2.0,96737
19-01-2011,24.9,87.0,13.0,1.6,0.0,96737
20-01-2011,25.5,88.0,5.0,0.0,1.0,96737
21-01-2011,25.6,90.0,3.0,0.0,0.0,96737
22-01-2011,25.9,89.0,9.0,1.0,1.0,96737
23-01-2011,26.1,89.0,5.0,3.2,1.0,96737
26-01-2011,26.7,82.0,15.0,4.2,3.0,96737
27-01-2011,27.8,80.0,0.0,2.5,2.0,96737
28-01-2011,26.2,88.0,5.0,3.3,1.0,96737
29-01-2011,26.6,84.0,34.0,3.6,0.0,96737
30-01-2011,25.8,86.0,8.0,6.4,2.0,96737
01-02-2011,26.2,84.0,5.0,5.9,1.0,96737
02-02-2011,27.1,76.0,1.0,0.0,2.0,96737
03-02-2011,25.9,84.0,1.0,3.5,1.0,96737
04-02-2011,24.5,96.0,8.0,1.6,1.0,96737
05-02-2011,25.9,86.0,22.0,0.0,2.0,96737
06-02-2011,26.7,83.0,2.0,0.0,1.0,96737
07-02-2011,27.5,80.0,4.0,5.6,2.0,96737
08-02-2011,26.9,86.0,4.0,4.6,1.0,96737
09-02-2011,27.8,76.0,0.0,7.8,1.0,96737
10-02-2011,27.3,80.0,0.0,8.0,1.0,96737
11-02-2011,27.2,84.0,0.0,8.0,1.0,96737
12-02-2011,27.0,85.0,1.0,8.0,1.0,96737
13-02-2011,27.3,84.0,0.0,5.5,1.0,96737
17-02-2011,26.9,84.0,1.0,2.1,2.0,96737
19-02-2011,27.7,81.0,0.0,4.8,1.0,96737
